disease,medications,precautions,diet,doctor_type,severity
appendicitis,antibiotics;oral rehydration salts,avoid allergens;monitor symptoms,soft foods,endocrinologist,mild
meningitis,bronchodilators;paracetamol,hydration;regular exercise,low sugar diet,neurologist,moderate
gallstones,steroids;antihistamines,monitor symptoms;maintain hygiene,low salt diet,urologist,serious
crohns disease,proton pump inhibitors;insulin,avoid cold exposure;avoid spicy food,warm fluids,urologist,mild
pancreatitis,antihistamines;insulin,monitor symptoms;avoid allergens,low salt diet,pulmonologist,moderate
tuberculosis,antihistamines;ibuprofen,avoid allergens;monitor symptoms,low salt diet,general physician,moderate
skin abscess,bronchodilators;insulin,hydration;avoid allergens,light diet,cardiologist,serious
atrial fibrillation,bronchodilators;antihistamines,regular exercise;hydration,warm fluids,neurologist,moderate
hypertension,oral rehydration salts;steroids,monitor symptoms;regular exercise,low sugar diet,cardiologist,mild
thyroid cancer,antihistamines;insulin,hydration;avoid cold exposure,high fiber diet,neurologist,serious
thyroid cancer,antibiotics;steroids,avoid spicy food;monitor symptoms,low salt diet,neurologist,moderate
gastritis,oral rehydration salts;antihistamines,rest;regular exercise,soft foods,dermatologist,serious
pleurisy,bronchodilators;ibuprofen,maintain hygiene;rest,low salt diet,dermatologist,mild
covid-19,antibiotics;oral rehydration salts,hydration;monitor symptoms,low sugar diet,infectious disease specialist,moderate
lyme disease,insulin;proton pump inhibitors,avoid spicy food;avoid allergens,high fiber diet,neurologist,mild
cellulitis,antihistamines;insulin,avoid spicy food;regular exercise,balanced diet,pulmonologist,moderate
constipation,paracetamol;ibuprofen,monitor symptoms;avoid spicy food,light diet,dermatologist,mild
pericarditis,bronchodilators;ibuprofen,avoid spicy food;hydration,low salt diet,general physician,moderate
skin abscess,oral rehydration salts;proton pump inhibitors,hydration;monitor symptoms,balanced diet,endocrinologist,serious
heart failure,antibiotics;bronchodilators,rest;avoid cold exposure,balanced diet,gastroenterologist,mild
laryngitis,ibuprofen;bronchodilators,regular exercise;monitor symptoms,low sugar diet,dermatologist,serious
melanoma,antibiotics;paracetamol,avoid allergens;rest,soft foods,endocrinologist,moderate
rabies,antivirals;oral rehydration salts,avoid allergens;monitor symptoms,warm fluids,infectious disease specialist,serious
goiter,antihistamines;paracetamol,rest;hydration,balanced diet,urologist,mild
dengue fever,bronchodilators;antihistamines,hydration;regular exercise,high fiber diet,dermatologist,moderate
hyperthyroidism,insulin;proton pump inhibitors,avoid spicy food;hydration,low sugar diet,neurologist,serious
coronary artery disease,oral rehydration salts;proton pump inhibitors,avoid spicy food;rest,low sugar diet,neurologist,mild
cushing syndrome,antivirals;ibuprofen,regular exercise;avoid allergens,warm fluids,gastroenterologist,serious
coronary artery disease,ibuprofen;oral rehydration salts,hydration;avoid allergens,balanced diet,cardiologist,serious
fungal infection,bronchodilators;antihistamines,avoid spicy food;rest,high fiber diet,urologist,serious
metabolic syndrome,antihistamines;antivirals,regular exercise;avoid cold exposure,soft foods,dermatologist,moderate
dengue fever,proton pump inhibitors;bronchodilators,regular exercise;avoid spicy food,light diet,cardiologist,serious
atrial fibrillation,antihistamines;bronchodilators,hydration;avoid cold exposure,light diet,general physician,moderate
eczema,proton pump inhibitors;insulin,rest;avoid cold exposure,warm fluids,dermatologist,mild
peripheral neuropathy,insulin;antibiotics,regular exercise;monitor symptoms,low salt diet,dermatologist,moderate
polycystic ovary syndrome,ibuprofen;proton pump inhibitors,rest;regular exercise,warm fluids,urologist,mild
concussion,bronchodilators;antibiotics,avoid allergens;regular exercise,soft foods,dermatologist,moderate
bronchitis,bronchodilators;antihistamines,hydration;rest,warm fluids,dermatologist,moderate
hypothyroidism,proton pump inhibitors;steroids,maintain hygiene;avoid cold exposure,balanced diet,endocrinologist,mild
impetigo,bronchodilators;ibuprofen,rest;avoid spicy food,light diet,urologist,mild
gallstones,antibiotics;proton pump inhibitors,avoid cold exposure;avoid spicy food,low salt diet,endocrinologist,moderate
cardiomyopathy,bronchodilators;insulin,maintain hygiene;monitor symptoms,warm fluids,general physician,serious
tension headache,steroids;antibiotics,avoid spicy food;rest,low sugar diet,general physician,mild
pulmonary fibrosis,steroids;insulin,maintain hygiene;avoid spicy food,high fiber diet,gastroenterologist,moderate
celiac disease,insulin;antibiotics,avoid cold exposure;hydration,warm fluids,cardiologist,mild
kidney infection,antivirals;bronchodilators,avoid allergens;rest,high fiber diet,cardiologist,mild
typhoid fever,oral rehydration salts;bronchodilators,avoid spicy food;regular exercise,warm fluids,cardiologist,serious
rosacea,paracetamol;steroids,avoid spicy food;hydration,warm fluids,neurologist,serious
pleurisy,steroids;insulin,maintain hygiene;regular exercise,low sugar diet,pulmonologist,mild
cluster headache,paracetamol;bronchodilators,avoid spicy food;hydration,soft foods,general physician,moderate
stroke,oral rehydration salts;paracetamol,avoid spicy food;avoid cold exposure,light diet,gastroenterologist,mild
influenza,insulin;paracetamol,maintain hygiene;avoid spicy food,high fiber diet,cardiologist,serious
